at	rss_bytes	footprint_bytes	free_percent	swap_bytes	swap_delta_bytes
2026-08-26T13:49:16Z	12135923712	13958643712	86	2583429120	0
2026-08-26T13:49:21Z	18377261056	24696061952	77	2583429120	0
2026-08-26T13:49:26Z	12495257600	28991029248	54	2583429120	0
2026-08-26T13:49:31Z	8873443328	33285996544	32	3502568898	919139778
2026-08-26T13:49:36Z	8064892928	34359738368	40	5564069314	2980640194
2026-08-26T13:49:41Z	8262467584	34359738368	28	5320799682	2737370562
2026-08-26T13:49:47Z	4702044160	35433480192	36	5392102850	2808673730
2026-08-26T13:49:52Z	6364626944	36507222016	39	6243808706	3660379586
2026-08-26T13:49:57Z	7084802048	36507222016	41	6368002048	3784572928
2026-08-26T13:50:02Z	7415742464	36507222016	36	6469588090	3886158970
2026-08-26T13:50:07Z	7550058496	36507222016	37	6781340221	4197911101
2026-08-26T13:50:12Z	7379517440	37580963840	36	8030519296	5447090176
2026-08-26T13:50:17Z	7433306112	38654705664	36	8919187456	6335758336
2026-08-26T13:50:22Z	7332806656	38654705664	36	9804447744	7221018624
2026-08-26T13:50:27Z	7138918400	39728447488	36	10351867330	7768438210
2026-08-26T13:50:32Z	7087734784	40802189312	37	10965085061	8381655941
2026-08-26T13:50:38Z	7015120896	40802189312	36	11835151482	9251722362
2026-08-26T13:50:43Z	7130415104	41875931136	36	12210468290	9627039170
2026-08-26T13:50:48Z	7129186304	42949672960	36	13055756861	10472327741
2026-08-26T13:50:53Z	7053541376	42949672960	37	13623948738	11040519618
2026-08-26T13:50:58Z	7071236096	44023414784	36	14181067653	11597638533
2026-08-26T13:51:03Z	7041187840	44023414784	36	14883812802	12300383682
2026-08-26T13:51:08Z	7084195840	45097156608	36	15252523581	12669094461
2026-08-26T13:51:13Z	7262863360	45097156608	36	15723921408	13140492288
2026-08-26T13:51:18Z	7160152064	46170898432	36	16455628226	13872199106
2026-08-26T13:51:23Z	7071285248	47244640256	36	17364093501	14780664381
