sample	observed_at	listener_count	command_sha256	owner_label_sha256	health_status	models_status	model_alias
0	2026-08-29T17:43:47Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
1	2026-08-29T17:43:48Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
2	2026-08-29T17:43:49Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
3	2026-08-29T17:43:50Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
4	2026-08-29T17:43:52Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
5	2026-08-29T17:43:53Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
6	2026-08-29T17:43:54Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
7	2026-08-29T17:43:55Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
8	2026-08-29T17:43:56Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
9	2026-08-29T17:43:57Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
10	2026-08-29T17:43:58Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
11	2026-08-29T17:44:00Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
12	2026-08-29T17:44:01Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
13	2026-08-29T17:44:02Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
14	2026-08-29T17:44:03Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
15	2026-08-29T17:44:04Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
16	2026-08-29T17:44:06Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
17	2026-08-29T17:44:07Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
18	2026-08-29T17:44:08Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
19	2026-08-29T17:44:10Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
20	2026-08-29T17:44:11Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
21	2026-08-29T17:44:13Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
22	2026-08-29T17:44:14Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
23	2026-08-29T17:44:15Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
24	2026-08-29T17:44:17Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
25	2026-08-29T17:44:18Z	1	a0c13c8d7e84fa92c76db532db0a6fed13b3b42313a75e10b8f69e252f76a91d	b567298df044cecdac3cf921d7cb971e4665db7b5407fb634647a910e3abbdb7	200	200	qwen3.6-27b
