agents,sub_turns,calls,shared_saved_p50,isolated_saved_p50,cross_uplift_p50,prefix_tokens_saved,token_mult_naive,token_mult_reuse,tax_clawed_back,critical_path_turns,total_work_turns,parallel_speedup,agent_turns_per_sec,dedup_tokens_saved,net_tokens_saved,net_dollars_saved
1,4,8,2,2,0,0,1.0718,1.2557,0.0000,6.0,6.0,1.000,0.6667,0,-512,-0.001536
2,4,12,4,4,0,2048,2.1437,1.6655,0.4181,6.0,10.0,1.667,1.1111,0,1331,0.003993
4,4,20,10,8,2,6144,4.2874,2.4851,0.5483,6.0,18.0,3.000,2.0000,752,5769,0.017307
8,4,36,20,15,4,14336,8.5747,4.1241,0.5876,6.0,34.0,5.667,3.7778,1504,13894,0.041682
16,4,68,46,34,12,30720,17.1494,7.4023,0.6036,6.0,66.0,11.000,7.3333,4512,31648,0.094944
32,4,132,95,66,30,63488,34.2989,13.9586,0.6108,7.0,131.0,18.714,12.4762,11280,67907,0.203721
64,4,260,191,134,58,129024,68.5977,27.0713,0.6143,9.0,261.0,29.000,19.3333,21808,137417,0.412251
128,4,516,387,268,122,260096,137.1954,53.2966,0.6160,12.0,520.0,43.333,28.8889,45872,279446,0.838338
256,4,1028,785,536,251,522240,274.3908,105.7471,0.6169,18.0,1038.0,57.667,38.4444,94376,563880,1.691640
512,4,2052,1572,1069,503,1046528,548.7816,210.6483,0.6173,31.0,2075.0,66.935,44.6237,189128,1130491,3.391473
1024,4,4100,3155,2152,1005,2095104,1097.5632,420.4506,0.6175,57.0,4149.0,72.789,48.5263,377880,2262961,6.788883
