agents,sub_turns,prefix_tokens,calls,shared_saved_p50,isolated_saved_p50,cross_uplift_p50,prefix_tokens_saved,token_mult_naive,token_mult_reuse,tax_clawed_back,critical_path_turns,total_work_turns,parallel_speedup,agent_turns_per_sec,dedup_tokens_saved,net_tokens_saved,net_dollars_saved
1,4,2048,8,2,2,0,0,1.0718,1.2557,0.0000,6.0,6.0,1.000,0.6667,0,-512,-0.001536
2,4,2048,12,4,4,0,2048,2.1437,1.6655,0.4181,6.0,10.0,1.667,1.1111,0,1331,0.003993
4,4,2048,20,9,8,2,6144,4.2874,2.4851,0.5483,6.0,18.0,3.000,2.0000,752,5769,0.017307
8,4,2048,36,20,14,4,14336,8.5747,4.1241,0.5876,6.0,34.0,5.667,3.7778,1504,13894,0.041682
16,4,2048,68,46,34,13,30720,17.1494,7.4023,0.6036,6.0,66.0,11.000,7.3333,4888,32024,0.096072
32,4,2048,132,96,68,28,63488,34.2989,13.9586,0.6108,7.0,131.0,18.714,12.4762,10528,67155,0.201465
64,4,2048,260,197,134,58,129024,68.5977,27.0713,0.6143,9.0,261.0,29.000,19.3333,21808,137417,0.412251
128,4,2048,516,386,268,117,260096,137.1954,53.2966,0.6160,12.0,520.0,43.333,28.8889,43992,277566,0.832698
256,4,2048,1028,785,536,255,522240,274.3908,105.7471,0.6169,18.0,1038.0,57.667,38.4444,95880,565384,1.696152
512,4,2048,2052,1569,1069,483,1046528,548.7816,210.6483,0.6173,31.0,2075.0,66.935,44.6237,181608,1122971,3.368913
1024,4,2048,4100,3155,2152,1005,2095104,1097.5632,420.4506,0.6175,57.0,4149.0,72.789,48.5263,377880,2262961,6.788883
